conf,area,big_area
AAAI,AI,AI
ACL,NLP,AI
ASE,SE,Sys
ASPLOS,CA,Sys
CAV,LV,Theo
CCS,CS,Sys
CHI,HCI,IA
CRYPTO,CRY,Theo
CVPR,CV,AI
DAC,DA,Sys
EC,EC,IA
ECCV,CV,AI
EMNLP,NLP,AI
EMSOFT,ERS,Sys
EuroCrypt,CRY,Theo
EuroSys,OS,Sys
FAST,OS,Sys
FOCS,AC,Theo
FSE,SE,Sys
HPCA,CA,Sys
HPDC,HPC,Sys
ICCAD,DA,Sys
ICCV,CV,AI
ICFP,PL,Sys
ICML,MLDM,AI
ICRA,ROB,IA
ICS,HPC,Sys
ICSE,SE,Sys
IEEE-S&P,CS,Sys
IJCAI,AI,AI
IMC,MPA,Sys
IROS,ROB,IA
ISCA,CA,Sys
ISMB,CBB,IA
ISSTA,SE,Sys
KDD,MLDM,AI
LICS,LV,Theo
MICRO,CA,Sys
MobiCom,MC,Sys
MobiSys,MC,Sys
NAACL,NLP,AI
NDSS,CS,Sys
NIPS,MLDM,AI
NSDI,CN,Sys
OOPSLA,PL,Sys
OSDI,OS,Sys
PLDI,PL,Sys
POPL,PL,Sys
RECOMB,CBB,IA
RSS,ROB,IA
RTAS,ERS,Sys
RTSS,ERS,Sys
SC,HPC,Sys
SenSys,MC,Sys
SIGCOMM,CN,Sys
SIGGRAPH,CG,IA
SIGGRAPH-Asia,CG,IA
SIGIR,TWIR,AI
SIGMETRICS,MPA,Sys
SIGMOD,DB,Sys
SODA,AC,Theo
SOSP,OS,Sys
STOC,AC,Theo
UbiComp,HCI,IA
UIST,HCI,IA
USENIX-ATC,OS,Sys
USENIX-Sec,CS,Sys
VIS,VIS,IA
VLDB,DB,Sys
VR,VIS,IA
WINE,EC,IA
WWW,TWIR,AI
