dept,State,Stateabbr
Arizona State University,Arizona,AR
Auburn University,Alabama,AL
Binghamton University,New York,NY
Boise State University,Idaho,ID
Boston College,Massachusetts,MA
Boston University,Massachusetts,MA
Brandeis University,Massachusetts,MA
Brigham Young University,Utah,UT
Brown University,Rhode Island,RI
California Institute of Technology,California,CA
Carnegie Mellon University,Pennsylvania,PA
Case Western Reserve University,Ohio,OH
Clemson University,South Carolina,SC
College of William and Mary,Virginia,VA
Colorado School of Mines,Colorado,CO
Colorado State University,Colorado,CO
Columbia University,New York,NY
Cornell University,New York,NY
CUNY,New York,NY
Dartmouth College,New Hampshire,NH
Drexel University,Pennsylvania,PA
Duke University,North Carolina,NC
Emory University,Georgia,GA
Florida State University,Florida,FL
George Mason University,Virginia,VA
George Washington University,District of Columbia,DC
Georgetown University,District of Columbia,DC
Georgia Institute of Technology,Georgia,GA
Harvard University,Massachusetts,MA
Indiana University,Indiana,IN
Iowa State University,Iowa,IA
IUPUI,Indiana,IN
Johns Hopkins University,Maryland,MD
Kansas State University,Kansas,KS
Massachusetts Institute of Technology,Massachusetts,MA
Michigan State University,Michigan,MI
Naval Postgraduate School,California,CA
New Mexico State University,New Mexico,NM
New York University,New York,NY
NJIT,New Jersey,NJ
North Carolina State University,North Carolina,NC
Northeastern University,Massachusetts,MA
Northern Arizona University,Arizona,AR
Northwestern University,Illinois,IL
Ohio State University,Ohio,OH
OHSU,Oregon,OR
Old Dominion University,Virginia,VA
Oregon State University,Oregon,OR
Pennsylvania State University,Pennsylvania,PA
Princeton University,New Jersey,NJ
Purdue University,Indiana,IN
Rensselaer Polytechnic Institute,New York,NY
Rice University,Texas,TX
Rochester Institute of Technology,New York,NY
Rutgers University,New Jersey,NJ
Stanford University,California,CA
Stevens Institute of Technology,New Jersey,NJ
Stony Brook University,New York,NY
Temple University,Pennsylvania,PA
Texas A&M University,Texas,TX
TTI Chicago,Illinois,IL
Tufts University,Massachusetts,MA
Tulane University,Louisiana,LA
Univ. of Colorado Colorado Springs,Colorado,CO
Univ. of Illinois at Urbana-Champaign,Illinois,IL
Univ. of Maryland - Baltimore County,Maryland,MD
University at Buffalo,New York,NY
University of Arizona,Arizona,AR
University of California - Berkeley,California,CA
University of California - Davis,California,CA
University of California - Irvine,California,CA
University of California - Los Angeles,California,CA
University of California - Riverside,California,CA
University of California - San Diego,California,CA
University of California - Santa Barbara,California,CA
University of California - Santa Cruz,California,CA
University of Central Florida,Florida,FL
University of Chicago,Illinois,IL
University of Colorado Boulder,Colorado,CO
University of Connecticut,Connecticut,CT
University of Delaware,Delaware,DE
University of Florida,Florida,FL
University of Georgia,Georgia,GA
University of Hawaii at Manoa,Hawaii,HI
University of Houston,Texas,TX
University of Illinois at Chicago,Illinois,IL
University of Iowa,Iowa,IA
University of Kansas,Kansas,KS
University of Kentucky,Kansas,KS
University of Maryland - College Park,Maryland,MD
University of Massachusetts Amherst,Massachusetts,MA
University of Massachusetts Boston,Massachusetts,MA
University of Massachusetts Lowell,Massachusetts,MA
University of Miami,Florida,FL
University of Michigan,Michigan,MI
University of Minnesota,Minnesota,MN
University of Nebraska,Nebraska,NE
University of Nevada,Nevada,NV
University of New Mexico,New Mexico,NM
University of North Carolina,North Carolina,NC
University of Notre Dame,Indiana,IN
University of Oregon,Oregon,OR
University of Pennsylvania,Pennsylvania,PA
University of Pittsburgh,Pennsylvania,PA
University of Rochester,New York,NY
University of South Carolina,South Carolina,SC
University of South Florida,Florida,FL
University of Southern California,California,CA
University of Tennessee,Tennessee,TN
University of Texas at Arlington,Texas,TX
University of Texas at Austin,Texas,TX
University of Texas at Dallas,Texas,TX
University of Texas at San Antonio,Texas,TX
University of Utah,Utah,UT
University of Vermont,Vermont,VT
University of Virginia,Virginia,VA
University of Washington,Washington,WA
University of Wisconsin - Madison,Wisconsin,WI
Vanderbilt University,Tennessee,TN
Virginia Commonwealth University,Virginia,VA
Virginia Tech,Virginia,VA
Washington State University,Washington,WA
Washington University in St. Louis,Missouri,MO
Worcester Polytechnic Institute,Massachusetts,MA
Yale University,Connecticut,CT
