dept,Year,AIadj,SYSadj,Theoadj,IAadj
New Mexico State University,2003,1.00 ,1.00 ,1.00 ,1.25 
New Mexico State University,2004,1.36 ,1.00 ,1.00 ,1.00 
New Mexico State University,2005,1.25 ,1.00 ,1.00 ,1.00 
New Mexico State University,2006,1.67 ,1.00 ,1.00 ,1.00 
New Mexico State University,2007,1.33 ,1.33 ,1.00 ,1.50 
New Mexico State University,2008,2.00 ,1.33 ,1.00 ,1.00 
New Mexico State University,2009,1.50 ,1.00 ,1.00 ,1.00 
New Mexico State University,2010,1.67 ,1.00 ,1.00 ,1.00 
New Mexico State University,2011,4.42 ,1.20 ,1.00 ,1.25 
New Mexico State University,2012,1.00 ,1.33 ,1.00 ,1.00 
New Mexico State University,2013,1.00 ,1.25 ,1.00 ,1.00 
New Mexico State University,2014,1.33 ,1.13 ,1.00 ,1.00 
New Mexico State University,2015,2.00 ,1.00 ,1.00 ,1.00 
New Mexico State University,2016,1.78 ,1.00 ,1.00 ,1.00 
New Mexico State University,2017,1.45 ,1.17 ,1.00 ,1.00 
